restaurant_name,original_location,awards,top_tags,price_level,cuisines,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,excellent,food,service,atmosphere
Forn de Pa l'Era,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]","Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016","Cheap Eats, Bakeries, Cafe",€,Cafe,N,N,7.0,4.0,146,10,4.5,4.0,
Restaurant Albert,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rupit""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",N,N,,4.0,131,7,4.0,4.0,
Codigo 14 Gastrobar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Contemporary, Catalan",Y,Y,6.0,4.5,206,5,4.5,4.5,
Socarrat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",,"Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",N,Y,6.0,4.0,120,1,4.0,3.0,
Kaliurestaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Travellers' Choice, Certificate of Excellence 2020","Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",Y,Y,5.0,4.5,185,146,5.0,4.5,
Saint Germain Des Pres,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,N,7.0,4.0,104,1,4.0,4.5,4.5
Pitapes,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,Y,7.0,4.0,491,6,4.0,4.0,4.0
El Vell Nou,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",,"Mid-range, Mediterranean, Vegetarian Friendly, Vegan Options",€€-€€€,Mediterranean,Y,Y,6.0,4.0,198,1,4.0,3.5,3.5
Les Pruneres,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",,"Mid-range, Mediterranean, Spanish",€€-€€€,"Spanish, Mediterranean",N,N,6.0,3.5,119,0,4.0,4.0,3.5
Restaurante La Marieta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, European, Spanish, Vegetarian Friendly",€€-€€€,"Spanish, European",N,Y,6.0,4.0,219,2,4.5,4.0,4.0
Can Prat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",,"Mid-range, Mediterranean, Spanish, Contemporary",€€-€€€,"Mediterranean, Spanish, Contemporary",N,N,7.0,3.0,175,0,3.0,3.5,
Groc cafe,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Mexican, Latin, Spanish",€€-€€€,"Mexican, Latin, Spanish, South American, Central American",N,N,6.0,4.5,259,3,4.5,4.5,4.0
Frankfurt Tino,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Cheap Eats, Fast food, Spanish",€,"Fast food, Spanish",N,N,6.0,4.5,125,3,4.0,4.0,3.5
La Llar d'en Tariel,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,7.0,4.0,214,3,4.0,4.0,4.0
Casa Gerardo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Cafe, Mediterranean, Spanish",€€-€€€,"Mediterranean, Spanish, Healthy, Cafe",N,Y,6.0,4.0,299,1,4.0,4.5,4.5
El Tiro De Mollet,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]","Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Steakhouse, Mediterranean, Barbecue",€€-€€€,"Steakhouse, Mediterranean, Barbecue, Spanish",N,Y,7.0,4.0,332,1,4.0,3.5,3.5
Neoris,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Mollet del Valles""]",Certificate of Excellence 2017,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,Y,7.0,4.0,191,1,4.0,4.0,
Masia Font del Tort,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Montcada i Reixac""]",,"Mid-range, Mediterranean, Spanish",€€-€€€,"Mediterranean, Spanish",N,N,,4.0,142,0,4.0,3.5,3.5
Casa Juanita,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Montcada i Reixac""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",Y,N,7.0,3.5,133,1,4.0,3.5,4.0
El Manantial de la Cerve,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Montcada i Reixac""]",,"Cheap Eats, Mediterranean, Spanish",€,"Mediterranean, Spanish",N,N,7.0,3.5,127,21,3.5,3.0,3.0
El Mirador de Can Toy,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Montcada i Reixac""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Seafood, Mediterranean, Spanish",€€-€€€,"Seafood, Mediterranean, Spanish",N,N,,4.0,102,39,4.0,4.0,
Gretta Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Healthy",Y,Y,6.0,4.5,161,5,4.5,4.5,
L'Estany clar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Comfortable restaurant","Fine Dining, Mediterranean, European, Spanish",€€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.5,202,9,4.5,4.5,4.5
Restaurant La Cabana BERGA,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificate of Excellence 2013","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.0,562,26,4.5,4.5,4.5
La Notta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean, European, Spanish, Grill, Barbecue",Y,Y,4.0,4.5,143,3,4.0,4.0,
Uummm...!!!,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, European, Spanish, Vegetarian Friendly",€€-€€€,"European, Spanish",N,N,3.0,4.5,123,14,4.5,4.5,4.5
Restaurant Sant Marc,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, Barbecue, Vegetarian Friendly",€€-€€€,"Barbecue, Mediterranean",N,N,6.0,4.0,110,1,4.5,4.0,
El Rincon Gallego,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]",Certificate of Excellence 2017,"Mid-range, Mediterranean, Spanish",€€-€€€,"Spanish, Mediterranean",N,N,,3.5,128,0,3.5,3.5,
"Bar Santa Eulàlia - ""Bar del Pepe""","[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Cheap Eats, Bar, Cafe, Mediterranean",€,"Cafe, Bar, Mediterranean, European, Pub",Y,Y,7.0,4.5,108,5,4.5,4.5,
Cal Travé,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Berga""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.5,164,11,4.5,4.5,
Can Marc,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Esteve de Palautordera""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,6.0,4.5,226,9,4.0,4.0,4.0
Ramen House Manresa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",,"Mid-range, Japanese, Sushi, Asian",€€-€€€,"Japanese, Sushi, Asian",Y,Y,6.0,3.5,119,1,4.0,3.0,
Pizzeria 1900,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean",N,N,7.0,2.5,112,1,3.5,3.0,
Kursaal Espai Gastronòmic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Contemporary",Y,Y,7.0,4.0,299,23,4.0,4.0,4.0
Sibar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",N,Y,7.0,4.0,208,8,4.0,4.0,4.0
L'Ermitanet,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Steakhouse, Mediterranean, European",€€-€€€,"Mediterranean, Spanish, Steakhouse, European",N,N,6.0,4.0,200,4,4.0,4.0,4.0
Raviolo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Italian, Mediterranean, European",€€-€€€,"Mediterranean, Italian, European, Spanish, Healthy",Y,Y,7.0,4.5,425,19,4.5,4.5,4.0
Cal Spaguetti,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Seafood, Mediterranean, European",€€-€€€,"Seafood, Mediterranean, European, Spanish",Y,Y,6.0,4.0,305,6,4.0,4.0,4.0
Canonge,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,N,6.0,4.0,203,4,4.0,4.0,4.5
Restaurante Aligue,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Fine Dining, Mediterranean, Spanish, Contemporary",€€€€,"Mediterranean, Spanish, Contemporary",N,Y,7.0,4.0,221,4,4.5,4.0,4.0
La Cuina,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",N,N,6.0,4.5,140,4,4.5,4.5,4.0
Turo de la torre,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2018, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Contemporary",€€-€€€,"Mediterranean, Spanish, Contemporary",N,Y,3.0,4.0,105,0,4.5,4.0,
Las Vegas,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, Catalan, European",Y,Y,6.0,4.0,223,6,4.5,4.5,4.5
Cocteleria Glaç,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",,"Mid-range, Bar, European, Deli",€€-€€€,"Deli, Contemporary, Healthy, Gastropub, Bar, European, Pub",Y,Y,6.0,3.5,140,1,3.5,4.0,4.5
Cafe restaurante Chinito,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",Certificate of Excellence 2015,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,6.0,4.0,150,1,4.0,4.0,4.0
American Food factory,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, American",€€-€€€,American,N,N,4.0,4.0,151,3,4.0,4.0,4.5
La Tagliatella Manresa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean",N,N,7.0,3.5,214,1,4.0,3.5,3.5
Creperie Bretonne - Annaick - Manresa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, French, Vegetarian Friendly, Vegan Options",€€-€€€,French,Y,N,7.0,4.0,147,4,4.0,3.5,4.0
Sakura,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",,"Mid-range, Japanese, Sushi, Asian",€€-€€€,"Japanese, Sushi, Asian",N,N,,3.5,128,1,4.0,3.5,4.5
Restaurant Vermell,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2019, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",N,N,5.0,4.0,123,9,4.0,4.5,4.5
Gretta Gogo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2019, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan, Contemporary",Y,Y,,4.0,407,5,4.0,4.0,4.5
Complex Congost,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]","Certificate of Excellence 2018, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,,4.5,106,57,4.5,4.5,
Ca la Raquel,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Bages"", ""Manresa""]",,"Mid-range, Mediterranean, Spanish",€€-€€€,"Mediterranean, Spanish",N,N,,3.5,127,1,3.5,3.5,
Boira,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,5.0,4.5,233,6,4.5,4.5,
Pizzeria 1900 Vic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Mediterranean, Pizza, Spanish",N,N,7.0,3.0,147,1,4.0,3.5,
Amici Miei Taverna Italiana,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Italian, Mediterranean, Vegetarian Friendly",€€-€€€,"Italian, Mediterranean",Y,N,3.0,4.5,114,7,5.0,5.0,
El Bitxo Italià,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016","Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Pizza, Italian, Mediterranean",Y,Y,5.0,4.5,142,3,4.5,4.5,3.5
XinVic Gastrobar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019","Mid-range, Mediterranean, European, Spanish",€€-€€€,"European, Spanish, Mediterranean",Y,Y,6.0,4.5,126,5,5.0,5.0,
Restaurante El Bohemi,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Certificate of Excellence 2018, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,N,6.0,4.0,116,2,4.0,4.0,4.0
El Jardinet,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.0,373,31,4.5,4.5,4.0
Cal Fuste Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Spanish, Vegetarian Friendly, Vegan Options",€€-€€€,Spanish,Y,N,6.0,4.0,175,3,4.5,4.5,4.0
Cal U,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",Certificate of Excellence 2017,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"European, Spanish, Mediterranean",N,Y,6.0,4.0,180,9,4.0,4.0,4.0
Arros I Peix Vic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Seafood, Mediterranean, European",€€-€€€,"Seafood, Mediterranean, European, Spanish",N,Y,6.0,4.0,218,12,4.5,4.0,4.0
La Tagliatella Vic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean, European",N,N,7.0,3.5,107,6,3.5,3.5,3.5
Magda Subirana,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.0,319,21,4.5,4.0,4.5
El Caliu,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2015","Mid-range, Steakhouse, Mediterranean, European",€€-€€€,"Steakhouse, Mediterranean, Spanish, Catalan, European",N,Y,6.0,4.0,231,1,4.0,4.0,3.5
Mas Ricart,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",Certificate of Excellence 2015,"Mid-range, International, Mediterranean, Vegetarian Friendly",€€-€€€,"International, Mediterranean",N,N,7.0,3.5,174,1,3.5,3.5,4.0
Restaurante Parador de Vic-Sau.,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,Y,,3.5,117,1,3.5,3.5,3.5
La Bodega De Vic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,N,,3.5,111,5,4.0,3.5,3.5
Divicnus,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,5.0,4.0,265,6,4.5,3.5,4.0
Vikus's,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,N,7.0,3.0,243,1,3.0,3.0,4.0
Celler d'en Miquel,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]","Certificate of Excellence 2018, Certificate of Excellence 2017","Cheap Eats, Mediterranean, European, Spanish",€,"Mediterranean, Spanish, European",Y,N,7.0,4.0,159,1,4.0,4.5,
Okashii,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Vic""]",,"Mid-range, Japanese, Sushi, Asian",€€-€€€,"Sushi, Japanese, Asian",Y,N,7.0,3.5,226,1,4.0,4.0,4.0
